Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.77     0.00  2780406     0.00     0.00  auto get_cycles_and_sequences_for_fixed_contraction(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)::{lambda(auto:1 const&, auto:2 const&)#1}::operator()<std::pair<int, int>, std::pair<int, int> >(std::pair<int, int> const&, std::pair<int, int> const&) const
  0.00      0.77     0.00  2779677     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.77     0.00  2539107     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00      0.77     0.00  2538187     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.77     0.00  2513274     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00      0.77     0.00  2513274     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true> const&)
  0.00      0.77     0.00  2418248     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.00      0.77     0.00  2418248     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>&)
  0.00      0.77     0.00  2389428     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.77     0.00  2388204     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.77     0.00  2361960     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.77     0.00  2311660     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.77     0.00  2270106     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.77     0.00  2237301     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.77     0.00  2237301     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.77     0.00  2237301     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.77     0.00  2237301     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.77     0.00  2232927     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      0.77     0.00  2176065     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.77     0.00  2160819     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.77     0.00  2125764     0.00     0.05  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.77     0.00  2117016     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.77     0.00  2090772     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.77     0.00  2082087     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.77     0.00  2082087     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.77     0.00  2082087     0.00     0.01  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.77     0.00  2038284     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.77     0.00  2020059     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00      0.77     0.00  1996731     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00      0.77     0.00  1996731     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.00      0.77     0.00  1970611     0.00     0.01  std::__detail::_Hash_node_value_base<int>::_M_valptr()
  0.00      0.77     0.00  1948617     0.00     0.01  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> > >, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(int const&, unsigned long) const
